user_id,item_id,score
65,2798,0
65,2795,0
65,2788,1
65,2802,1
65,2784,1
38,1066,0
65,1942,1
65,1090,0
65,1077,0
65,1079,1
65,1081,1
65,1089,1
38,1872,1
65,1952,0
38,1880,0
38,1866,1
38,1869,1
38,1862,1
65,1949,1
65,1973,1
38,1921,1
38,1928,1
38,1961,1
38,1954,1
38,1033,1
38,1997,1
38,1060,0
38,1732,1
38,1057,1
38,1725,1
38,1067,0
38,1074,1
38,1081,1
38,1077,1
38,1787,0
38,1784,1
38,1754,0
475,1393,1
475,1376,1
475,1406,1
475,1064,0
475,1082,1
475,1091,1
475,1075,1
475,1764,0
475,1805,1
475,1811,1
475,1975,1
475,1762,1
475,1774,1
475,1758,1
475,1835,0
475,1845,1
475,1838,1
475,1831,1
475,1744,1
475,1734,1
475,1802,1
475,1070,1
486,369,1
499,369,0
495,369,0
486,268,0
487,369,1
486,488,1
495,367,0
486,489,0
491,369,1
501,369,1
489,369,1
488,369,1
499,367,0
493,369,1
497,369,0
490,369,1
487,268,0
488,268,0
486,490,1
489,268,0
491,268,0
500,369,1
489,488,1
487,488,1
488,488,1
487,489,0
489,489,0
488,489,0
502,369,0
497,367,0
501,268,1
491,488,1
498,369,1
490,268,0
500,268,1
489,490,0
496,369,0
493,268,0
491,489,1
489,250,0
501,250,0
494,369,0
492,369,1
487,490,0
488,490,1
491,490,1
493,488,1
499,368,1
488,250,0
490,488,0
493,489,1
498,268,1
493,490,0
490,489,0
496,367,1
494,367,0
500,488,0
502,367,0
487,250,1
491,250,1
492,268,1
496,368,0
500,489,1
503,369,1
498,250,1
504,369,1
502,368,1
500,490,1
499,268,0
490,490,0
486,570,1
502,268,0
499,488,0
500,570,1
504,268,0
502,488,1
499,489,0
493,570,0
490,250,0
502,489,0
499,490,0
495,570,0
504,488,0
505,369,0
496,268,0
499,250,1
504,489,0
491,570,1
505,367,0
502,490,0
496,488,1
502,250,1
489,888,0
492,250,1
496,489,0
491,435,1
505,368,0
495,435,1
491,527,0
486,250,1
495,527,0
489,889,0
505,268,0
494,368,0
505,488,0
505,489,0
500,250,0
489,890,1
504,490,1
496,490,1
489,891,0
496,250,0
489,892,1
489,893,0
493,250,0
505,490,0
504,250,0
494,268,0
489,894,0
505,250,0
488,888,0
490,888,0
489,1124,1
488,889,1
490,889,1
490,890,1
490,891,1
488,890,1
488,891,1
494,488,1
490,892,1
503,570,1
488,892,1
490,893,0
488,893,0
494,489,0
489,570,1
490,894,0
503,435,0
489,435,0
489,436,0
503,436,1
490,1124,1
488,894,1
503,437,0
488,1124,1
489,437,1
487,888,0
489,527,0
487,889,1
495,569,1
487,890,1
495,182,0
503,527,0
487,891,1
495,837,1
487,892,1
487,893,0
490,570,1
499,888,0
494,490,0
487,894,0
495,283,0
494,250,0
495,282,1
490,435,1
490,527,1
495,13,1
487,1124,1
495,358,0
499,889,0
499,890,1
499,891,1
501,888,0
489,569,1
495,444,1
488,570,0
499,892,1
495,445,0
499,893,0
489,182,1
499,894,0
489,283,0
503,569,0
495,446,1
489,282,0
486,888,0
509,369,1
506,369,1
509,268,0
518,369,1
509,488,1
508,369,0
511,369,1
508,367,1
