model,runType,dataset,test_correct_ratio,test_correct_ratio_raw,train_correct_ratio,train_correct_ratio_raw,n_train_examples,n_train_examples_raw,n_test_examples,n_test_examples_raw,n_valid_examples,n_valid_examples_raw,n_knowledge_concepts,n_problems,n_users,n_users_raw,ACC,ACC_raw,AUC,AUC_raw,MAE,MAE_raw,RMSE,RMSE_raw,ACC_std,ACC_std_raw,AUC_std,AUC_std_raw,MAE_std,MAE_std_raw,RMSE_std,RMSE_std_raw,avg_train_duration,avg_train_duration_raw,performed_at
IRT,basic,ASSIST09,0.5958030535668387,"[0.6011474468775873, 0.5911673324483621, 0.5864342757007797, 0.6034665263307512, 0.5967996864767136]",0.5978615303128206,"[0.5966795386816859, 0.598538500254658, 0.5992166018762916, 0.5971683198170311, 0.5977046909344366]",277020.8,"[275305, 276208, 277029, 277875, 278687]",33498.2,"[34417, 33946, 33504, 33012, 32612]",35757.0,"[36554, 36122, 35743, 35389, 34977]",146,6671,4332.0,"[4332, 4332, 4332, 4332, 4332]",0.6330161358694184,"[0.6379055643705204, 0.6293671446763746, 0.6312564697982822, 0.6330780751080844, 0.6334734253938302]",0.6293975561077089,"[0.6334187151179287, 0.6250499454100433, 0.6301442697599565, 0.6277710865222723, 0.6306037637283433]",0.4098963450074211,"[0.40791835707790586, 0.411088704843907, 0.4101593852394128, 0.41062489044027295, 0.40969038743560715]",0.4909143997902305,"[0.48886688386577865, 0.49310688042780987, 0.4906160995044958, 0.49148954720243915, 0.4904925879506291]",0.0028471397104684,"[0.6379055643705204, 0.6293671446763746, 0.6312564697982822, 0.6330780751080844, 0.6334734253938302]",0.0028188423148096,"[0.6334187151179287, 0.6250499454100433, 0.6301442697599565, 0.6277710865222723, 0.6306037637283433]",0.0010933019127154,"[0.40791835707790586, 0.411088704843907, 0.4101593852394128, 0.41062489044027295, 0.40969038743560715]",0.0013854238081765,"[0.48886688386577865, 0.49310688042780987, 0.4906160995044958, 0.49148954720243915, 0.4904925879506291]",37.70222029685974,"[2.7638864517211914, 46.47196674346924, 46.36833667755127, 46.40683960914612, 46.50007200241089]",2024-09-17 14:33:01
IRT,sampled,ASSIST09,0.6003886799626184,"[0.6087332367257258, 0.602652752227705, 0.5968373452600342, 0.5922999744969523, 0.6014200911026748]",0.5998858362295018,"[0.6002997564129127, 0.5999309680636715, 0.5995844562023706, 0.600266624911204, 0.59934737555735]",110775.2,"[108906, 109906, 110869, 111732, 112463]",13288.2,"[13929, 13521, 13268, 12943, 12780]",14405.6,"[15634, 15042, 14332, 13794, 13226]",146,6671,4332.0,"[4332, 4332, 4332, 4332, 4332]",0.6399575380526226,"[0.6329794038633747, 0.6409387049594469, 0.6426179179458554, 0.6473829201101928, 0.6358687433842432]",0.6447937399011153,"[0.6393488203521617, 0.6501484301761814, 0.6504200458779056, 0.6506077560326583, 0.6334436470666698]",0.4057434408917973,"[0.40978278558075837, 0.404404536595997, 0.40203279022554644, 0.4031622317906159, 0.40933486026606936]",0.4843503095994316,"[0.4890158079636266, 0.48340704764910086, 0.4805965582380006, 0.4799050486764228, 0.4888270854700074]",0.0050712761111887,"[0.6329794038633747, 0.6409387049594469, 0.6426179179458554, 0.6473829201101928, 0.6358687433842432]",0.0071077783689322,"[0.6393488203521617, 0.6501484301761814, 0.6504200458779056, 0.6506077560326583, 0.6334436470666698]",0.0032074548209574,"[0.40978278558075837, 0.404404536595997, 0.40203279022554644, 0.4031622317906159, 0.40933486026606936]",0.0039127773830283,"[0.4890158079636266, 0.48340704764910086, 0.4805965582380006, 0.4799050486764228, 0.4888270854700074]",45.82548999786377,"[45.93777775764465, 45.60836410522461, 45.82793068885803, 45.875263690948486, 45.878113746643066]",2024-09-17 14:38:11
NCDM,basic,ASSIST09,0.5958030535668387,"[0.6011474468775873, 0.5911673324483621, 0.5864342757007797, 0.6034665263307512, 0.5967996864767136]",0.5978615303128206,"[0.5966795386816859, 0.598538500254658, 0.5992166018762916, 0.5971683198170311, 0.5977046909344366]",277020.8,"[275305, 276208, 277029, 277875, 278687]",33498.2,"[34417, 33946, 33504, 33012, 32612]",35757.0,"[36554, 36122, 35743, 35389, 34977]",146,6671,4332.0,"[4332, 4332, 4332, 4332, 4332]",0.7214055428690227,"[0.7270339771297258, 0.7186479153978185, 0.7200850516184987, 0.7185000989007884, 0.7227606712982817]",0.7679283536722978,"[0.7722063251882483, 0.7661934085600153, 0.766332334251846, 0.7656855871024413, 0.7692241132589381]",0.3512209803540372,"[0.34268698911673035, 0.36100887828823913, 0.3547874824896055, 0.3532017654724293, 0.34441978640318205]",0.4335292335499731,"[0.4306261285670062, 0.43300497467858273, 0.43434948068000473, 0.4358240586033677, 0.4338415252209041]",0.0032032938158103,"[0.7270339771297258, 0.7186479153978185, 0.7200850516184987, 0.7185000989007884, 0.7227606712982817]",0.0024725431287487,"[0.7722063251882483, 0.7661934085600153, 0.766332334251846, 0.7656855871024413, 0.7692241132589381]",0.0068048752925265,"[0.34268698911673035, 0.36100887828823913, 0.3547874824896055, 0.3532017654724293, 0.34441978640318205]",0.0017169402653618,"[0.4306261285670062, 0.43300497467858273, 0.43434948068000473, 0.4358240586033677, 0.4338415252209041]",387.9128768444061,"[389.80501556396484, 384.437255859375, 384.4710416793823, 386.28639340400696, 394.5646777153015]",2024-09-17 18:16:23
KaNCD,basic,ASSIST09,0.5958030535668387,"[0.6011474468775873, 0.5911673324483621, 0.5864342757007797, 0.6034665263307512, 0.5967996864767136]",0.5978615303128206,"[0.5966795386816859, 0.598538500254658, 0.5992166018762916, 0.5971683198170311, 0.5977046909344366]",277020.8,"[275305, 276208, 277029, 277875, 278687]",33498.2,"[34417, 33946, 33504, 33012, 32612]",35757.0,"[36554, 36122, 35743, 35389, 34977]",146,6671,4332.0,"[4332, 4332, 4332, 4332, 4332]",0.7270319696110764,"[0.7271434042786015, 0.7228005093848624, 0.7265478555241586, 0.7285597219474979, 0.7301083569202619]",0.7815830761816807,"[0.7819525735245567, 0.77997418861807, 0.7813561513180826, 0.780646190490982, 0.7839862769567122]",0.337534489677414,"[0.3374116628159137, 0.3357641024443976, 0.3351273654815198, 0.3464392159008777, 0.33293010174436133]",0.4296259571923358,"[0.4282962294158054, 0.4339164585848689, 0.4304264005619474, 0.42743251308503866, 0.42805818431401893]",0.002447456878389,"[0.7271434042786015, 0.7228005093848624, 0.7265478555241586, 0.7285597219474979, 0.7301083569202619]",0.0013732932050367,"[0.7819525735245567, 0.77997418861807, 0.7813561513180826, 0.780646190490982, 0.7839862769567122]",0.0046784215637344,"[0.3374116628159137, 0.3357641024443976, 0.3351273654815198, 0.3464392159008777, 0.33293010174436133]",0.0023700800238296,"[0.4282962294158054, 0.4339164585848689, 0.4304264005619474, 0.42743251308503866, 0.42805818431401893]",230.75149974823,"[234.75571966171265, 228.9576916694641, 234.89293670654297, 226.84425449371338, 228.3068962097168]",2024-09-17 18:39:06
CAKE,basic,ASSIST09,0.5958030535668387,"[0.6011474468775873, 0.5911673324483621, 0.5864342757007797, 0.6034665263307512, 0.5967996864767136]",0.5978615303128206,"[0.5966795386816859, 0.598538500254658, 0.5992166018762916, 0.5971683198170311, 0.5977046909344366]",277020.8,"[275305, 276208, 277029, 277875, 278687]",33498.2,"[34417, 33946, 33504, 33012, 32612]",35757.0,"[36554, 36122, 35743, 35389, 34977]",146,6671,4332.0,"[4332, 4332, 4332, 4332, 4332]",0.730650968880019,"[0.731219565574219, 0.7317977963567909, 0.7280026858405841, 0.7340133939924836, 0.728221402636018]",0.7815901676642125,"[0.7819436805235296, 0.7800219862608901, 0.7817911186241598, 0.7815897399949132, 0.7826043129175702]",0.3545706001333539,"[0.35015945828570155, 0.3510299173987283, 0.36007305139638895, 0.35538480638638303, 0.3562057671995679]",0.4248574704916945,"[0.4244935661164762, 0.42572317799478043, 0.4251129979065162, 0.4238936825831253, 0.42506392785757424]",0.0022742301242404,"[0.731219565574219, 0.7317977963567909, 0.7280026858405841, 0.7340133939924836, 0.728221402636018]",0.0008547556752126,"[0.7819436805235296, 0.7800219862608901, 0.7817911186241598, 0.7815897399949132, 0.7826043129175702]",0.0036223826326428,"[0.35015945828570155, 0.3510299173987283, 0.36007305139638895, 0.35538480638638303, 0.3562057671995679]",0.0006194645932671,"[0.4244935661164762, 0.42572317799478043, 0.4251129979065162, 0.4238936825831253, 0.42506392785757424]",334.11689586639403,"[332.7156808376312, 332.1070137023926, 333.47417426109314, 335.06352138519287, 337.2240891456604]",2024-09-17 19:38:12
IRT,correctSaturated,ASSIST09,0.3433278709320702,"[0.3447123327113291, 0.33804215567315365, 0.3388820690762185, 0.34173140452044004, 0.35327139267920965]",0.6604368953207701,"[0.6604368953207701, 0.6604368953207701, 0.6604368953207701, 0.6604368953207701, 0.6604368953207701]",279314.0,"[279314, 279314, 279314, 279314, 279314]",32394.0,"[32394, 32394, 32394, 32394, 32394]",34568.0,"[34568, 34568, 34568, 34568, 34568]",146,6671,4332.0,"[4332, 4332, 4332, 4332, 4332]",0.485234899328859,"[0.48530432770192083, 0.4879657486692895, 0.48562254107845404, 0.4839736172182365, 0.48330826197639437]",0.652708076500914,"[0.6506850799181932, 0.655920373849147, 0.654552910814606, 0.6482920517876603, 0.6540899661349633]",0.5035654094372599,"[0.5041721364379491, 0.5011381134960669, 0.5025275394146855, 0.5048899828855177, 0.5050992749520806]",0.5802989445319846,"[0.5817740826997094, 0.5776984772073712, 0.5787651311947564, 0.5813967760875408, 0.581860255470545]",0.0016071956069895,"[0.48530432770192083, 0.4879657486692895, 0.48562254107845404, 0.4839736172182365, 0.48330826197639437]",0.0028009168606333,"[0.6506850799181932, 0.655920373849147, 0.654552910814606, 0.6482920517876603, 0.6540899661349633]",0.0015128975947262,"[0.5041721364379491, 0.5011381134960669, 0.5025275394146855, 0.5048899828855177, 0.5050992749520806]",0.0017282344890067,"[0.5817740826997094, 0.5776984772073712, 0.5787651311947564, 0.5813967760875408, 0.581860255470545]",49.04239373207092,"[50.53031873703003, 48.66314101219177, 48.60849475860596, 48.661179542541504, 48.74883460998535]",2024-09-17 19:55:56
IRT,incorrectSaturated,ASSIST09,0.769141110412571,"[0.767012225915767, 0.772370554800439, 0.7689333338477322, 0.7660543381527899, 0.771335099346127]",0.5571348264707614,"[0.5571348264707614, 0.5571348264707614, 0.5571348264707614, 0.5571348264707614, 0.5571348264707614]",275501.0,"[275501, 275501, 275501, 275501, 275501]",34342.0,"[34342, 34342, 34342, 34342, 34342]",36433.0,"[36433, 36433, 36433, 36433, 36433]",146,6671,4332.0,"[4332, 4332, 4332, 4332, 4332]",0.6920319490571734,"[0.6917355145060796, 0.6976642055279554, 0.6945351741552988, 0.6869321768726155, 0.6892926742239178]",0.6313666687976232,"[0.6218397050844601, 0.6394534314402547, 0.6349078134067991, 0.6307915683372585, 0.6298408257193435]",0.3745888393283336,"[0.3749984943836525, 0.3724601738047362, 0.37220876833351696, 0.37667102325539503, 0.37660573686436716]",0.4502388459394016,"[0.4515959258089615, 0.4469548561684332, 0.4483223496600223, 0.4523591545119633, 0.45196194354762775]",0.0037838505582046,"[0.6917355145060796, 0.6976642055279554, 0.6945351741552988, 0.6869321768726155, 0.6892926742239178]",0.0058541850058283,"[0.6218397050844601, 0.6394534314402547, 0.6349078134067991, 0.6307915683372585, 0.6298408257193435]",0.0019373764576374,"[0.3749984943836525, 0.3724601738047362, 0.37220876833351696, 0.37667102325539503, 0.37660573686436716]",0.0021800911167846,"[0.4515959258089615, 0.4469548561684332, 0.4483223496600223, 0.4523591545119633, 0.45196194354762775]",48.4079879283905,"[48.33451747894287, 48.179242849349976, 48.32065224647522, 48.59373068809509, 48.611796379089355]",2024-09-17 20:00:01
IRT,basic,NEUR20,0.6245044921431298,"[0.624251451346964, 0.6259639151933434, 0.6242693374233652, 0.6232466563290446, 0.6247911004229313]",0.6243772954618494,"[0.624413480907046, 0.6241945108339614, 0.6243987800684189, 0.6244266187412006, 0.6244530867586198]",2050977.6,"[2048971, 2049974, 2051007, 2051980, 2052956]",255122.2,"[256145, 255644, 255084, 254595, 254143]",257622.2,"[258606, 258104, 257631, 257147, 256623]",388,10000,4940.0,"[4940, 4940, 4940, 4940, 4940]",0.6133108849766333,"[0.6102565292375274, 0.6111489942038868, 0.6162301896899053, 0.6129645689041676, 0.6159541428476792]",0.5960805075321772,"[0.5799466807195772, 0.5794099414876217, 0.6196240479746149, 0.5831317887209019, 0.6182900787581708]",0.4135343618214004,"[0.41609244888429736, 0.4150830030377594, 0.4108249812017517, 0.4144196892970024, 0.41125168668619144]",0.5184039788796554,"[0.5239878047862521, 0.5248036256304016, 0.5097545951414963, 0.5233754758758383, 0.5100983929642885]",0.0024344177003185,"[0.6102565292375274, 0.6111489942038868, 0.6162301896899053, 0.6129645689041676, 0.6159541428476792]",0.0187266698017854,"[0.5799466807195772, 0.5794099414876217, 0.6196240479746149, 0.5831317887209019, 0.6182900787581708]",0.0021107938266183,"[0.41609244888429736, 0.4150830030377594, 0.4108249812017517, 0.4144196892970024, 0.41125168668619144]",0.0069375063116374,"[0.5239878047862521, 0.5248036256304016, 0.5097545951414963, 0.5233754758758383, 0.5100983929642885]",90.4580759048462,"[91.18257713317871, 90.41786074638367, 90.2070517539978, 90.14072942733765, 90.34216046333313]",2024-09-17 20:07:53
IRT,sampled,NEUR20,0.6243188025590748,"[0.6236662651893229, 0.6228983797806001, 0.623085624501435, 0.6254934029403523, 0.6264503403836638]",0.6243897844617496,"[0.6243832828183077, 0.6248307427466812, 0.6244467075767617, 0.6245798374073941, 0.6237083517596032]",820392.0,"[818428, 819380, 820401, 821381, 822370]",101318.6,"[102328, 101754, 101343, 100781, 100387]",103779.4,"[104734, 104356, 103746, 103328, 102733]",388,10000,4940.0,"[4940, 4940, 4940, 4940, 4940]",0.61586030670793,"[0.6178700326541524, 0.6142722986699375, 0.6154743315404931, 0.6156608082997832, 0.6160240623752835]",0.6160541275130007,"[0.6165387861496628, 0.6164509072278663, 0.6187251508610963, 0.6141874655422237, 0.6143683277841548]",0.4112172303870187,"[0.4103913781573337, 0.41199792592387086, 0.41030193216352306, 0.4119123060793428, 0.411482609611023]",0.5109190701666712,"[0.5104005833045546, 0.5110782126615919, 0.5101040910655599, 0.5125239811036602, 0.5104884826979892]",0.0011641615240996,"[0.6178700326541524, 0.6142722986699375, 0.6154743315404931, 0.6156608082997832, 0.6160240623752835]",0.0016645144337742,"[0.6165387861496628, 0.6164509072278663, 0.6187251508610963, 0.6141874655422237, 0.6143683277841548]",0.0007325086504695,"[0.4103913781573337, 0.41199792592387086, 0.41030193216352306, 0.4119123060793428, 0.411482609611023]",0.0008624952845063,"[0.5104005833045546, 0.5110782126615919, 0.5101040910655599, 0.5125239811036602, 0.5104884826979892]",82.55389709472657,"[82.70244455337524, 82.40955996513367, 82.5712263584137, 82.60424256324768, 82.48201203346252]",2024-09-17 20:14:55
IRT,correctSaturated,NEUR20,0.3728341648275394,"[0.3732733320348181, 0.37295786916650225, 0.37176900897136667, 0.3735391156732479, 0.37263149829176173]",0.6864988073072076,"[0.6864988073072076, 0.6864988073072076, 0.6864988073072076, 0.6864988073072076, 0.6864988073072076]",2061801.0,"[2061801, 2061801, 2061801, 2061801, 2061801]",249740.0,"[249740, 249740, 249740, 249740, 249740]",252181.0,"[252181, 252181, 252181, 252181, 252181]",388,10000,4940.0,"[4940, 4940, 4940, 4940, 4940]",0.4553459618290038,"[0.45029165559657547, 0.4488641095086466, 0.458274017471578, 0.45010131611818494, 0.4691987104500339]",0.6070899460360941,"[0.5941557992399796, 0.5951850268141129, 0.6183771673837757, 0.5947100057483763, 0.6330217309942265]",0.5305865228036513,"[0.5375943734476094, 0.5365209968696333, 0.5270023545217726, 0.5364653999261487, 0.515349489253093]",0.6220144368929905,"[0.6305097800543049, 0.629670439774736, 0.6171888885992138, 0.6294801224599266, 0.6032229535767715]",0.0076881582167585,"[0.45029165559657547, 0.4488641095086466, 0.458274017471578, 0.45010131611818494, 0.4691987104500339]",0.0158879892586769,"[0.5941557992399796, 0.5951850268141129, 0.6183771673837757, 0.5947100057483763, 0.6330217309942265]",0.0085311500162982,"[0.5375943734476094, 0.5365209968696333, 0.5270023545217726, 0.5364653999261487, 0.515349489253093]",0.0106106310660342,"[0.6305097800543049, 0.629670439774736, 0.6171888885992138, 0.6294801224599266, 0.6032229535767715]",90.05026025772095,"[89.88762307167053, 90.00252199172974, 90.10364365577698, 90.22129249572754, 90.03622007369995]",2024-09-17 20:22:45
